SKELID	TILUDRONATE
AZITROMAX	AZITHROMYCIN
PROCASIL	PROPYLTHIOURACIL
2-[2-(4-CHLOROPHENYL)-1,3-BENZOXAZOL-5-YL]PROPANOIC ACID	BENOXAPROFEN
RETENSIN	GALLAMINE TRIETHIODIDE
DIABARIL	CHLORPROPAMIDE
HYTRACIN	TERAZOSIN
DOSSILAMINA [DCIT]	DOXYLAMINE
MARCAINE HCL	BUPIVACAINE
DAYPRO	OXAPROZIN
METHYLTHEOBROMIDE	CAFFEINE
ATENOL TROM	ATENOLOL
5-NOK	NITROXOLINE
RHONAL	ACETYLSALICYLIC ACID
TB-RAZIDE	ISONIAZID
GLUSTIN	PIOGLITAZONE
MALAFOR	MALATHION
PERLATAN	ESTRONE
RESOBANTIN	METHANTHELINE
RIFOLDIN	RIFAMPIN
TESTIM	TESTOSTERONE
BETAPACE	SOTALOL
CEFALOTINA [INN-SPANISH]	CEFALOTIN
2-METHYL-4-(2,2,2-TRICHLORO-1-HYDROXYETHOXY)-2-PENTANOL	CHLORHEXADOL
SDZ HTF 919	TEGASEROD
SULFAPHENYLPIPAZOL	SULFAPHENAZOLE
DISULPHURAM	DISULFIRAM
TRASICOR	OXPRENOLOL
ASTMAHALIN	EPINEPHRINE
CARBAMOYLCHOLINE-HYDROCHLORIDE	CARBACHOL
RIFN-ALPHA-2B	INTERFERON ALFA-2B, RECOMBINANT
RIFN-ALPHA-2A	INTERFERON ALFA-2A, RECOMBINANT
ADIAZINE	SULFADIAZINE
VADROCID	NITROFURAZONE
BIOCEF	CEPHALEXIN
ORADIL	CHLORTHALIDONE
ROCURONIUM	ROCURONIUM
MAGRILON	MAZINDOL
DIBENIL	DIPHENHYDRAMINE
ERGOTON-A	ERGOTAMINE
)-DIMET	DIMETHINDENE
EUSULPID	SULPIRIDE
CHLOROIODOQUIN	CLIOQUINOL
D-DESOXYEPHEDRINE	METHAMPHETAMINE
NITROFURAZOLIDONUM	FURAZOLIDONE
FUCIDINE	FUSIDIC ACID
TRIFLUOROMETHYLPERAZINE	TRIFLUOPERAZINE
PARAPAN	ACETAMINOPHEN
CLOPIXOL	ZUCLOPENTHIXOL
BIMATOPROST	BIMATOPROST
TOPOTECAN	TOPOTECAN
CHILDREN'S MOTRIN	IBUPROFEN
ALDOSTERONE	ALDOSTERONE
ISCOTIN	ISONIAZID
ATROMID-S	CLOFIBRATE
CHLOTHIXEN	CHLORPROTHIXENE
MELLARIT	THIORIDAZINE
PREDONINE	PREDNISOLONE
NICERGOLINUM [INN-LATIN]	NICERGOLINE
BIOMIORAN	CHLORZOXAZONE
LAXILOSE	LACTULOSE
DIAMORPHINE HYDROCHLORIDE	MORPHINE
PANCRELIPASE	PANCRELIPASE
CEPHACLOR	CEFACLOR
CILOPEN	PENICILLIN G
LEBRUFEN	IBUPROFEN
BENZOYLMETHYLECGONINE	COCAINE
BROMO-BENZDRYL	BROMODIPHENHYDRAMINE
CYTOVENE	GANCICLOVIR
MEPROCOMPREN	MEPROBAMATE
MEPAVLON	MEPROBAMATE
FOLINIC ACID CALCIUM SALT	LEUCOVORIN
OXIS	FORMOTEROL
PROFENAMINUM [INN-LATIN]	ETHOPROPAZINE
SULBIO	SULFISOXAZOLE
DNASE I	DORNASE ALFA
RENAZIDE	CYCLOTHIAZIDE
(-)-CARNITINE	L-CARNITINE
GALLAMIN TRIETHIODIDE	GALLAMINE TRIETHIODIDE
METHYLBENZYLPROPYNYLAMINE	PARGYLINE
ARCAPTA	INDACATEROL
CYPAT	CYPROTERONE
DEOXYCOFORMYCIN	PENTOSTATIN
THEO-NITE	THEOPHYLLINE
ORTHO MALATHION	MALATHION
EPIRENAN	EPINEPHRINE
CALCIPOTRIENE	CALCIPOTRIOL
DAUNOBLASTIN	DAUNORUBICIN
CHALOTHANE	HALOTHANE
IMPLANON	ETONOGESTREL
TETRANITROL	ERYTHRITYL TETRANITRATE
PROCELAC	OMEPRAZOLE
PROFIN	IBUPROFEN
QUESTRAN	CHOLESTYRAMINE
HALTRAN	IBUPROFEN
INTALPRAM	IMIPRAMINE
L-CODEINE	CODEINE
STREPTOCIDE WHITE	SULFANILAMIDE
AZOXODON	PEMOLINE
CHIBRO-AMUNO	INDOMETHACIN
URITOL	FUROSEMIDE
NATRILIX	INDAPAMIDE
LUCENTIS	RANIBIZUMAB
OCTANE-2-CARBOXYLATE	IOFLUPANE I 123
EMOQUIL	CYCLIZINE
NITRENPAX	NITRAZEPAM
LEVEMIR	INSULIN DETEMIR
CLIOCHINOLUM	CLIOQUINOL
MEPROTEN	MEPROBAMATE
TIMOLIDE	HYDROCHLOROTHIAZIDE
KARNITIN	L-CARNITINE
PALEXIA	TAPENTADOL
MECLICOT	MECLIZINE
RISPERDONE	RISPERIDONE
MONAGYL	METRONIDAZOLE
M-HYDROXY NOREPHEDRINE	METARAMINOL
ZOVIR	ACYCLOVIR
URANINE	FLUORESCEIN
CARACIDE	DIETHYLCARBAMAZINE
RELAXAN	GALLAMINE TRIETHIODIDE
MEPROBAMAT	MEPROBAMATE
K TAB	POTASSIUM CHLORIDE
YAZ	PROPERICIAZINE
NYCOPREN	NAPROXEN
TRAVOPROST	TRAVOPROST
NORCAIN	BENZOCAINE
DESERPINE	DESERPIDINE
HISTAMINE	HISTAMINE PHOSPHATE
MICYCLINE	TETRACYCLINE
CHLORAMIFENE	CLOMIFENE
LENDINE	LINDANE
MEASURIN	ACETYLSALICYLIC ACID
ROXIFEN	ISONIAZID
MAIPEDOPA	LEVODOPA
ACETAZOLAMINE	ACETAZOLAMIDE
TAVOR	LORAZEPAM
NIPELLEN	NIACIN
DOXY 100	DOXYCYCLINE
ASTHMA-NEFRIN	EPINEPHRINE
PRONISON	PREDNISONE
ETHYL HYDROXIDE	ETHANOL
HEPARINIC ACID	HEPARIN
MESO-NORDIHYDROGUAIARETIC ACID	MASOPROCOL
METHYL (1R,2S,3S,5S)-8-(3-FLUOROPROPYL)-3-[4-((123)I)IODOPHENYL]-8-AZABICYCLO[3.2.1]	IOFLUPANE I 123
SYNCURARINE	GALLAMINE TRIETHIODIDE
REXAN	CHLORMEZANONE
PROPOXYCHEL	PROPOXYPHENE
VCR	VINCRISTINE
RUBIAZOL A	SULFANILAMIDE
DILRENE	DILTIAZEM
VCZ	VORICONAZOLE
ALKA BUTAZOLIDIN	PHENYLBUTAZONE
PROCARBAZIN	PROCARBAZINE
GLYCOPYRROLATE	GLYCOPYRROLATE
LYGEN	CHLORDIAZEPOXIDE
GENPHEN	PROMETHAZINE
STAVUDINE	STAVUDINE
RU486	MIFEPRISTONE
RYTHMOL	PROPAFENONE
BLEPH-10	SULFACETAMIDE
AK-ZOL	ACETAZOLAMIDE
SULFAMETHAZINE	SULFAMETHAZINE
3-MERCAPTO-L-ALANINE	L-CYSTEINE
APO-PERPHENAZINE	PERPHENAZINE
PARASPAN	METHYLSCOPOLAMINE
SALURON	FUROSEMIDE
TORVAST	ATORVASTATIN
MYACINE	NEOMYCIN
PANDEL	HYDROCORTISONE
ENCAINIDUM [LATIN]	ENCAINIDE
LIPOSID	CLOFIBRATE
SOWELL	MEPROBAMATE
CLOFIBATE	CLOFIBRATE
-AHX	AMINOCAPROIC ACID
CIMITIDINE	CLOTRIMAZOLE
ZIAGEN	ABACAVIR
LONGASTATIN	OCTREOTIDE
LIPOSIT	FENOFIBRATE
METHOXYFLUORAN	METHOXYFLURANE
METAMFETAMINA [INN-SPANISH]	METHAMPHETAMINE
GATTEX	TEDUGLUTIDE
LENALIDOMIDE	LENALIDOMIDE
ENDANTADINE	AMANTADINE
WYPAX	LORAZEPAM
ORATESTIN	FLUOXYMESTERONE
(2S)-2-AMINOPENTANEDIOIC ACID	L-GLUTAMIC ACID
DEFEROXAMIN	DEFEROXAMINE
DIHYDROERGOTOXIN MESYLATE	ERGOLOID MESYLATE
AMBOCHLORIN	CHLORAMBUCIL
FENESIN	GUAIFENESIN
EXACTHIN	CORTICOTROPIN
INTRANEFRIN	EPINEPHRINE
LEVOFLOXACIN	LEVOFLOXACIN
ATRAVET	ACEPROMAZINE
JOSAMICINA [INN-SPANISH]	JOSAMYCIN
DICHLOROSAL	HYDROCHLOROTHIAZIDE
MERCAPTOVALINE	PENICILLAMINE
TOPICORT	DESOXIMETASONE
KEFUROX	CEFUROXIME
THEOPHYLLINE	THEOPHYLLINE
BENZOIC ACID, BENZYL ESTER	BENZYL BENZOATE
BUSPINOL	BUSPIRONE
P75	ETANERCEPT
SALBUTAMOL SULFATE	SALBUTAMOL
LY231514	PEMETREXED
TERBINAFINE HCL	TERBINAFINE
DIAMOX	ACETAZOLAMIDE
ADRENOHORMA	EPINEPHRINE
PEN-VEE K	PENICILLIN V
TRIMIPRAMINA [INN-SPANISH]	TRIMIPRAMINE
HISTABUTYZINE DIHYDROCHLORIDE	BUCLIZINE
BIPANAL	SECOBARBITAL
PHENACALUM	PHENACEMIDE
METHOXYFLURAN	METHOXYFLURANE
OLICARD	ISOSORBIDE MONONITRATE
PARA-AMINOSALICYLIC ACID	AMINOSALICYLIC ACID
SPIROCTANIE	SPIRONOLACTONE
VOLSOL	ACETIC ACID
LOMUSOL	CROMOGLICIC ACID
DEPEN	PENICILLAMINE
FUROXON	FURAZOLIDONE
MITOMYCIN (TN)	MITOMYCIN
DISTAMINE	PENICILLAMINE
CYTOXAN	CYCLOPHOSPHAMIDE
GLAUCOL	DICHLORPHENAMIDE
MIOSTAT	CARBACHOL
DIAMINON HYDROCHLORIDE	METHADONE
EMETID	METOCLOPRAMIDE
IDOMETHINE	INDOMETHACIN
VISUBETA	BETAMETHASONE
MIXIDOL	HALOPERIDOL
CHLORIDE OF POTASH	POTASSIUM CHLORIDE
INFILTRINA	DIMETHYL SULFOXIDE
NMO	NITRIC OXIDE
NORTESTOSTERONE PHENYLPROPIONATE	NANDROLONE PHENPROPIONATE
GAMUNEX (TALECRIS BIOTHERAPEUTICS)	INTRAVENOUS IMMUNOGLOBULIN
SIGAFAM	FAMOTIDINE
OCUSERT P 20	PILOCARPINE
CEPHAZOLIN	CEFAZOLIN
N-CARBAMOYLHYDROXYLAMINE	HYDROXYUREA
ADENOSCAN	ADENOSINE
NYSTOP	NYSTATIN
NOGENIC HC	HYDROCORTISONE
GLAUPAX	ACETAZOLAMIDE
PROCARBAZINE	PROCARBAZINE
HIDROCHLORTIAZID	HYDROCHLOROTHIAZIDE
CARICIDE	DIETHYLCARBAMAZINE
ALLVORAN	DICLOFENAC
SM-1652	CEFPIRAMIDE
SOLTAMOX	TAMOXIFEN
ETIBI	ETHAMBUTOL
SPAZAMIN	OXYPHENCYCLIMINE
WATER, 20%	ETHANOL
AGENERASE	AMPRENAVIR
MILECITAN	BUSULFAN
GRISEOFULVINUM [INN-LATIN]	GRISEOFULVIN
SIMENDAN	LEVOSIMENDAN
TRAZALON	TRAZODONE
ATENOL ACIS	ATENOLOL
ACEBUTOLOL	ACEBUTOLOL
METHYLROSANILINIUM CHLORIDE	GENTIAN VIOLET
THAM	CARBOPROST TROMETHAMINE
M-AMSA	AMSACRINE
MARAZINE	CYCLIZINE
ISOETARINA [INN-SPANISH]	ISOETHARINE
AQUARILLS	HYDROCHLOROTHIAZIDE
VALACICLOVIR	VALACICLOVIR
AZATHIOPRINE	AZATHIOPRINE
PALAVALE	ECONAZOLE
TRIFLUMETHAZINE	FLUPHENAZINE
ORICONAZOLE	ITRACONAZOLE
TOFRANIL-PM (IMIPRAMINE PAMOATE)	IMIPRAMINE
FLUPHENAZINE	FLUPHENAZINE
AMERSOL	IBUPROFEN
DELPHIMIX	DICLOFENAC
AXURIS	GENTIAN VIOLET
DUIRAMID	ACETAZOLAMIDE
MOGADAN	NITRAZEPAM
MARAPLAN	ISOCARBOXAZID
HDMTX	METHOTREXATE
MASMORAN	HYDROXYZINE
OROPRAM	CITALOPRAM
GLYCERYL GUIACOLATE	GUAIFENESIN
ISOMYN	AMPHETAMINE
HYDROCHLORTHIAZIDE	HYDROCHLOROTHIAZIDE
METH	METHAMPHETAMINE
3-PHYTYLMENADIONE	PHYTONADIONE
TRIPHTAZIN	TRIFLUOPERAZINE
METINDOL	INDOMETHACIN
BENZYL BENZOATE 99+ %	BENZYL BENZOATE
2-BROMO-2-CHLORO-1,1,1-TRIFLUOROETHANE	HALOTHANE
PHYSPAN	THEOPHYLLINE
MPA	MYCOPHENOLATE MOFETIL
ASTRAMORPH PF	MORPHINE
ZITHIOL	MALATHION
MONOLITUM	LANSOPRAZOLE
IONAMIN	PHENTERMINE
CIS-(+)-TETRAHYDRO-2-OXOTHIENO[3,4]IMIDAZOLINE-4-VALERIC ACID	BIOTIN
AVC	SULFANILAMIDE
BECILAN	PYRIDOXINE
PHENPROCOUMAROL	PHENPROCOUMON
RAD001	EVEROLIMUS
DIHYDROCODEINE	DIHYDROCODEINE
THEOCLEAR L.A.-130	THEOPHYLLINE
PERSANTINE	DIPYRIDAMOLE
ESTROMENIN	DIETHYLSTILBESTROL
3,3-BIS(4-HYDROXYPHENYL)-OXINDOLE	OXYPHENISATIN
CARBETHOXY MALATHION	MALATHION
GENABID	PAPAVERINE
TYLENOL	ACETAMINOPHEN
ISOTAZIN	ETHOPROPAZINE
BROMOCHLOROTRIFLUOROETHANE	HALOTHANE
HYLO-COMOD	HYALURONAN
CAPISTEN	KETOPROFEN
ARGIVENE	L-ARGININE
ASCORIN	VITAMIN C
ALLO-PUREN	ALLOPURINOL
PRIMOTESTON	TESTOSTERONE
CARISOPRODATE	CARISOPRODOL
DICLOFENAC SODIUM	DICLOFENAC
OFLODEX	OFLOXACIN
JEN-DIRIL	HYDROCHLOROTHIAZIDE
CYCLOGYL	CYCLOPENTOLATE
ARSENIGEN SAURE [GERMAN]	ARSENIC TRIOXIDE
NALTREXONE [USAN:BAN:INN]	NALTREXONE
PERMITAL	DIMENHYDRINATE
CARISOMA	CARISOPRODOL
METHYLCHLOROTETRACYCLINE	DEMECLOCYCLINE
AMOXICILLIN	AMOXICILLIN
IMIDENE	THALIDOMIDE
AZIBIOT	AZITHROMYCIN
EPIDOXORUBICIN	EPIRUBICIN
UN2257	POTASSIUM
SULFA GRAM	SULFAMETHIZOLE
NEPTAZANEAT	METHAZOLAMIDE
CELESTE	TRIAMCINOLONE
EURINOL	TRICHLORMETHIAZIDE
BENZYLPENICILLIN	PENICILLIN G
3,3-BIS(4-HYDROXYPHENYL)PHTHALIDE	PHENOLPHTHALEIN
SANDOZ METFORMIN	METFORMIN
ARECHIN	CHLOROQUINE
APO-SULFATRIM	TRIMETHOPRIM
2-(3-TRIFLUOROMETHYL-PHENYLAMINO)-NICOTINIC ACID	NIFLUMIC ACID
BACTESID	SULFANILAMIDE
NITRONG PARENTERAL	NITROGLYCERIN
NEUTRAFILLINA	DYPHYLLINE
AMITRIPTYLIN	AMITRIPTYLINE
GADOPRIL	ENALAPRIL
FUROSE	FUROSEMIDE
ZOOCOUMARIN	WARFARIN
VP-16-213	ETOPOSIDE
CLOPIDOGREL	CLOPIDOGREL
DORMETHAN	DEXTROMETHORPHAN
SNO-PHENICOL	CHLORAMPHENICOL
2-ACETAMIDO-2-DEOXY-D-GLUCOSE	N-ACETYL-D-GLUCOSAMINE
NUBAIN	NALBUPHINE
TOPCID	FAMOTIDINE
ZURINEL	ATORVASTATIN
ROPIVACAINE [INN]	ROPIVACAINE
NEUMEGA	OPRELVEKIN
GUANFACINE HYDROCHLORIDE	GUANFACINE
ROACTEMRA	TOCILIZUMAB
VASOPRESSIN, NON-MAMMALIAN	VASOPRESSIN
CALCIFIDIOL	CALCIDIOL
FLAMYCIN	LYMECYCLINE
FANSIDAR	PYRIMETHAMINE
SOMOSAL	SECOBARBITAL
PHEMITON	METHYLPHENOBARBITAL
JILKON	GALANTAMINE
HI-LONG	OXAZEPAM
1-BUTYLBIGUANIDE	BUFORMIN
TUBERIAN	ISONIAZID
LUCINACTANT	LUCINACTANT
LOMUDAL	CROMOGLICIC ACID
VAGAMIN	METHANTHELINE
N-METHYLHYOSCINE BROMIDE	METHYLSCOPOLAMINE
ANHIBA	ACETAMINOPHEN
HABITROL	NICOTINE
SEOTAL	SECOBARBITAL
ALEXAN	CYTARABINE
JOSACINE	JOSAMYCIN
GLYCOLIXIR	GLYCINE
ANERVAL	PHENYLBUTAZONE
PHISO-SCRUB	HEXACHLOROPHENE
BICNU	CARMUSTINE
BETA-ETHANOLAMINE	ETHANOL
PYRAZINE CARBOXYLAMIDE	PYRAZINAMIDE
METIPRANOLOL HYDROCHLORIDE	METIPRANOLOL
DIETHANOLAMINE FUSIDATE	FUSIDIC ACID
IMESON	NITRAZEPAM
TENEX	GUANFACINE
OXILAPINE	LOXAPINE
PRIMIDON	PRIMIDONE
AMINOETHANOIC ACID	GLYCINE
VALORIN	ACETAMINOPHEN
ASCUMAR	ACENOCOUMAROL
EUTENSIN	FUROSEMIDE
CESCORBAT	VITAMIN C
TRAQUILAN	CHLORPROTHIXENE
MAGNEVIST	GADOPENTETATE DIMEGLUMINE
LERITINE	ANILERIDINE
DESERPIDINUM [INN-LATIN]	DESERPIDINE
SEDIMIDE	THALIDOMIDE
PROSOGAN	LANSOPRAZOLE
COACTABS	PIVMECILLINAM
EQUILID	SULPIRIDE
SANDOZ NITRAZEPAM	NITRAZEPAM
METHANTHELINE BROMIDE	METHANTHELINE
THACAPZOL	METHIMAZOLE
NEURONIKA	ACETYLSALICYLIC ACID
ELIDEL	PIMECROLIMUS
EF CORLIN	HYDROCORTISONE
OCUFLOX	OFLOXACIN
SR33589	DRONEDARONE
MK 996	ROFECOXIB
FAMPYRA	DALFAMPRIDINE
FORMOTEROLUM [INN-LATIN]	FORMOTEROL
PARTEROL	DIHYDROTACHYSTEROL
ELOXATIN	OXALIPLATIN
EPSILCAPRAMIN	AMINOCAPROIC ACID
DIABENEZA	CHLORPROPAMIDE
DIGERVIN	FAMOTIDINE
LIORESAL INTRATHECAL	BACLOFEN
BEROTEC	FENOTEROL
WYPICIL	AMPICILLIN
CRISTERONE T	TESTOSTERONE
FNF	FENOFIBRATE
PHENOLURIC	PHENOBARBITAL
MIDAMOR	AMILORIDE
-GLU(N-	LIRAGLUTIDE
PHENOLURIO	PHENOBARBITAL
HALFAN	HALOFANTRINE
CHLOMEDINON	CHLORMEZANONE
ISMAZIDE	ISONIAZID
DIREMA	HYDROCHLOROTHIAZIDE
DIFICID	FIDAXOMICIN
CORDARONE	AMIODARONE
ATORVASTATIN	ATORVASTATIN
TIBINIDE	ACETAMINOPHEN
IMACILLIN	AMOXICILLIN
ZK-139834	GADOXETATE
MICARDIS	TELMISARTAN
MOPRAL	OMEPRAZOLE
MERCAPURIN	MERCAPTOPURINE
SOLPYRON	ACETYLSALICYLIC ACID
ETHIONIAMIDE	ETHIONAMIDE
DOLGIRID	IBUPROFEN
CEFMETAZOLE SODIUM	CEFMETAZOLE
PRIMAKTON	PRIMIDONE
DRYLISTAN	DIPHENHYDRAMINE
ALA-SCALP	HYDROCORTISONE
GADOTERIDOL	GADOTERIDOL
LEUKAMYCIN	CHLORAMPHENICOL
DEMAVET	DIMETHYL SULFOXIDE
OXAZIPAM	OXAZEPAM
TRONA MURIATE OF POTASH	POTASSIUM CHLORIDE
SERTRALINA [SPANISH]	SERTRALINE
PERCIN	ISONIAZID
CHOLOXIN	DEXTROTHYROXINE
CEPOL	CEPHALEXIN
NITROSYL RADICAL	NITRIC OXIDE
HYALART	HYALURONAN
CEFOTAXIME SODIUM	CEFOTAXIME
SULFADIAZINE SILVER	SILVER SULFADIAZINE
ANTADOL	PHENYLBUTAZONE
CELIN	VITAMIN C
AETINA	ETHIONAMIDE
ORPHENADINE	ORPHENADRINE
T-PHYL	THEOPHYLLINE
AIRCRIT	ATENOLOL
METIROSINE	METYROSINE
PROPOXYPHENE	PROPOXYPHENE
FLOGINAX	NAPROXEN
PEP005	INGENOL MEBUTATE
CEFACETRILE	CEFACETRILE
ETIONAMIDE [DCIT]	ETHIONAMIDE
DICHYSTROLUM	DIHYDROTACHYSTEROL
VIGORSAN	CHOLECALCIFEROL
ENBREL (IMMUNEX CORP)	ETANERCEPT
INTRAVAL	THIOPENTAL
TOLHART	EPINEPHRINE
CLOZAPIN	CLOZAPINE
MENAGEN	ESTRONE
SUSPREN	IBUPROFEN
VINBLASTINE SULFATE	VINBLASTINE
INOPHYLLINE	AMINOPHYLLINE
BALSALAZIDE	BALSALAZIDE
BROLIN	FAMOTIDINE
HEXACHLOROPHANE	HEXACHLOROPHENE
BYETTA (AMYLIN/ELI LILLY)	EXENATIDE
OMEPRAZOLE	OMEPRAZOLE
VARENICLINE	VARENICLINE
PENTIDS	PENICILLIN G
AVAMYS	FLUTICASONE FUROATE
LAMISIL AT	TERBINAFINE
METHYPRYLONUM [INN-LATIN]	METHYPRYLON
FEMTRACE	ESTRADIOL
TIPODEX	FAMOTIDINE
BAYMYCARD	NISOLDIPINE
REPONE K	POTASSIUM CHLORIDE
CIS-DDP	CISPLATIN
GLYDE	GLIPIZIDE
CEFPIRAMIDUM [INN-LATIN]	CEFPIRAMIDE
ZALECTRA	TERIPARATIDE
VESPARAZ-WIRKSTOFF	HYDROXYZINE
NITRAZEPAMUM [INN-LATIN]	NITRAZEPAM
FENOSSIMETILPENICILLINA [DCIT]	PENICILLIN V
INSULIN X14	INSULIN ASPART
TAZEPAM	OXAZEPAM
MEVLOR	LOVASTATIN
ALPROSTADIL	ALPROSTADIL
ANDROSTAN-17BETA-OL-3-ONE	DIHYDROTESTOSTERONE
CINOBAC	CINOXACIN
VEBECILLIN	PENICILLIN V
GLYCERO-GUAIACOL ETHER	GUAIFENESIN
PERKACIT TETD	DISULFIRAM
DIFIMICIN	FIDAXOMICIN
NITROPHENYLACETYLETHYL-4-HYDROXYCOUMARINE	ACENOCOUMAROL
METHOXYFLUORANE	METHOXYFLURANE
LIPRINAL	CLOFIBRATE
DOXAZOSIN	DOXAZOSIN
APSOLOL	PROPRANOLOL
TRANSBILIX	IODIPAMIDE
GENTIAN VIOLET	GENTIAN VIOLET
WARFICIDE	WARFARIN
KETAMINE	KETAMINE
EUCARDION	DEXRAZOXANE
RASTENIL	MEPROBAMATE
TRIAMCINOLONE	TRIAMCINOLONE
BIOCANOL	FLUCONAZOLE
MOILARORIN	FUROSEMIDE
ALFIMID	GLUTETHIMIDE
RIFABUTINA [SPANISH]	RIFABUTIN
RIVIVOL	IPRONIAZID
ATENOL	ATENOLOL
ORTHO 1 35	NORETHINDRONE
CEPHALOTHINUM	CEFALOTIN
ESTRONA	ESTRONE
AMYTRIPTILINE	AMITRIPTYLINE
PROCLOR	OMEPRAZOLE
DIHYDROERGOTOXINE MESYLATE	ERGOLOID MESYLATE
NITEX	ISOSORBIDE MONONITRATE
TEROLUT	DYDROGESTERONE
FURODRIX	FUROSEMIDE
ROBAXAPAP	PAPAVERINE
TERGITOL-4	SODIUM TETRADECYL SULFATE
BETA-METHYL CARBACHOL CHLORIDE	BETHANECHOL
DACORTEN	PREDNISONE
SYNECL	CEPHALEXIN
KAON ULTRA	POTASSIUM CHLORIDE
GONILERT	HYALURONAN
PARECOXIB	PARECOXIB
ANAFLON	ACETAMINOPHEN
FOURNEAU	SURAMIN
BEROCCA PN	CYANOCOBALAMIN
D-PROPOXYPHENE	PROPOXYPHENE
URISOXIN	SULFISOXAZOLE
SAROTEX	AMITRIPTYLINE
VERELAN PM	VERAPAMIL
DEMETHYLCHLORTETRACYCLINE	DEMECLOCYCLINE
ACETRETIN	ACITRETIN
VEGF TRAP-EYE	AFLIBERCEPT
FLAGEMONA	METRONIDAZOLE
UROBAK	SULFAMETHOXAZOLE
DERMOPLAST	BENZOCAINE
SULPHANILAMIDE GR	SULFANILAMIDE
VISCORIN	VITAMIN C
ETIDRONATE DISODIUM	ETIDRONIC ACID
METROPRIONE	METYRAPONE
MONISTAT-DERM	MICONAZOLE
LIVESAN	BENDROFLUMETHIAZIDE
ADIURETIN	DESMOPRESSIN
MILTWON	MEPROBAMATE
DIATRIZOIC ACID	DIATRIZOATE
TELACHLOR	CHLORPHENIRAMINE
LEUCOGEN	FILGRASTIM
PROTONIX	PANTOPRAZOLE
ACIDUM TIAPROFENICUM [INN-LATIN]	TIAPROFENIC ACID
BUTAZONIC	OXYPHENBUTAZONE
VALRELEASE	DIAZEPAM
TISOMYCIN	CYCLOSERINE
DEOXYRIBONUCLEASE I	DORNASE ALFA
ALFENTANYL	ALFENTANIL
TACARYL HYDROCHLORIDE	METHDILAZINE
THIORIDAZINE MONOSULFOXIDE ANALOG	MESORIDAZINE
GANCICLOVIR SODIUM	GANCICLOVIR
AMPI-BOL	AMPICILLIN
EUDATIN	PARGYLINE
CGP 33101	RUFINAMIDE
DELTA-STAB	PREDNISOLONE
BECLOVENT	BECLOMETASONE DIPROPIONATE
DIPYRIDAMOLE	DIPYRIDAMOLE
RATIO-ONDANSETRON	ONDANSETRON
KAYQUINONE	MENADIONE
ANTRA	OMEPRAZOLE
CRYSTAPEN V	PENICILLIN V
METYNA	METHYLPHENOBARBITAL
KROTENAL	DISULFIRAM
COMBINAL K1	PHYTONADIONE
UN1420	POTASSIUM
53-32C	TICLOPIDINE
TRASYLOL	APROTININ
METIPRILON	METHYPRYLON
WYSEALS	MEPROBAMATE
PYASSAN	CEPHALEXIN
DOLIPOL	TOLBUTAMIDE
TERLIPRESSINUM [INN-LATIN]	TERLIPRESSIN
CLOZAL	CLOXAZOLAM
P-CARBETHOXYANILINE	BENZOCAINE
NANDROLONE DECANOATE	NANDROLONE DECANOATE
EFCORTELIN	HYDROCORTISONE
DRENAMIST	EPINEPHRINE
SELSUN BLUE DRY FORMULA	SELENIUM SULFIDE
OBESITEX	DIETHYLPROPION
W-T SASP ORAL	SULFASALAZINE
CITANEST	PRILOCAINE
TIBUTOL	ETHAMBUTOL
DROMYL	DIMENHYDRINATE
DUTONIN	NEFAZODONE
FERROFOS 510	ETIDRONIC ACID
ETHOPROPAZINE	ETHOPROPAZINE
COLFARIT	ACETYLSALICYLIC ACID
ROMILAR	DEXTROMETHORPHAN
ORETON	TESTOSTERONE
NOVECIN	OFLOXACIN
ABX-EGF	PANITUMUMAB
CEFAZOLIN SODIUM	CEFAZOLIN
GAMASOL 90	DIMETHYL SULFOXIDE
TRIMEPERAZINE	TRIMEPRAZINE
METACYCLINE	METHACYCLINE
APTHELA	TERIPARATIDE
REMERGIL	MIRTAZAPINE
METHSUXIMID	METHSUXIMIDE
OESTROVIS	DIENESTROL
MIO-REL	ORPHENADRINE
UNIDERM	HYDROCORTISONE
FOLIGAN	ALLOPURINOL
IDUR	IDOXURIDINE
PROPOXYPHENE HCL	PROPOXYPHENE
DOBURIL	CYCLOTHIAZIDE
NAD(+--DIPHTHAMIDE ADP- RIBOSYLTRANSFERASE)	DENILEUKIN DIFTITOX
PERIPLUM	NIMODIPINE
POLY-GIRON	THALIDOMIDE
AMLEXANOX [USAN:INN:JAN]	AMLEXANOX
SEDOMETIL	METHYLDOPA
CHLORPROTHIXEN	CHLORPROTHIXENE
INTERNOLOL	ATENOLOL
SPASMOCYCLONE	CYCLANDELATE
PANCODINE	OXYCODONE
VISTIDE	CIDOFOVIR
TADALAFIL	TADALAFIL
1,3-DIHYDRO-7-NITRO-5-PHENYL-2H-1,4-BENZODIAZEPIN-2-ONE	NITRAZEPAM
L-METHORPHAN	DEXTROMETHORPHAN
ATROPEN	ATROPINE
CAPRELSA	VANDETANIB
CHLORPYRAMINE	CHLOROPYRAMINE
ETHIONAMIDE	ETHIONAMIDE
VENEN (TN)	TRIPROLIDINE
HALOPROGIN [USAN:INN:JAN]	HALOPROGIN
METHYPRYLON	METHYPRYLON
CIS-THIOTHIXENE	THIOTHIXENE
IMITREX	SUMATRIPTAN
ACIDUM ASPARTICUM	L-ASPARTIC ACID
